id;managemeetid;course;id;name;shortname;fullname;name;record;new_url;fechacread
110809;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 3 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=0bde22e7f1cbd5c7e73c6de5d706a28d;;24/02/23 0:00
110810;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 4 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=0a42fb143b61abbde6c86584a7819231;;24/02/23 0:00
110811;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 5 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=9484c5ab94e54a46b75f56e521e07cb9;;24/02/23 0:00
110812;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 6 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=0e653b97569e85a99ed3dd3075c170ff;;24/02/23 0:00
110813;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 7 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=38fd091f9c61927f4d5fc55316f0b087;;24/02/23 0:00
110814;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 8 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=d49224504e9f1473d4d6fb613108d83f;;24/02/23 0:00
110815;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 9 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=64855daae18f16beb0e36d5148417ecb;;24/02/23 0:00
110816;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 10 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=0590fa7fa54e543cde39bbcd609da481;;24/02/23 0:00
112176;4435;7677;216;Ley de emprendimiento;53777217;Excel desde Cero;Clase 1 - 53777217;https://comfama.webex.com/comfama/ldr.php?RCID=e1ab3dc5e15d0e8a7a158a9ded3a50fe;;17/03/23 0:00
112181;4436;7678;216;Ley de emprendimiento;53777230;Excel Pro;Clase 1 - 53777230;https://comfama.webex.com/comfama/ldr.php?RCID=a7ffcb7f8fc8e2495bfbc0abd4d5d9ed;;17/03/23 0:00
112187;4437;7679;216;Ley de emprendimiento;53777992;Función condicional en Power Bi;Clase 1 - 53777992;https://comfama.webex.com/comfama/ldr.php?RCID=aed308befc110df1cf5d32fe3ef5a525;;17/03/23 0:00
112191;4438;7680;216;Ley de emprendimiento;53778052;Aprende a diseñar con Canva;Clase 1 - 53778052;https://comfama.webex.com/comfama/ldr.php?RCID=950e33a7fe27e6b429823355cdca3bf7;;17/03/23 0:00
112204;4441;7683;216;Ley de emprendimiento;53779833;Creación informes en Power BI;Clase 1 - 53779833;https://comfama.webex.com/comfama/ldr.php?RCID=a9119faf07a62ad2361407c6f32aafa0;;17/03/23 0:00
113349;4516;7752;216;Ley de emprendimiento;53779911;Transformación de datos con Power BI;Clase 1 - 53779911;https://comfama.webex.com/comfama/ldr.php?RCID=1224c9d6691600ff72e10b220e2afa09;;31/03/23 0:00
